Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
1576,1577,522,243,1674171253.7994807
1544,1667,646,349,1674171253.828507
1480,1620,482,189,1674171253.8917797
1621,1848,613,434,1674171253.9278123
1615,1779,559,206,1674171253.9619896
1639,1648,588,405,1674171253.991103
1622,1665,479,322,1674171254.022372
1597,1688,424,259,1674171254.0544019
1623,1452,417,529,1674171254.0990617
1591,1509,306,189,1674171254.1330934
1565,1493,594,314,1674171254.1632378
1554,1760,530,272,1674171254.1925771
1595,1778,616,286,1674171254.225779
1596,1717,375,260,1674171254.256777
1561,1665,711,388,1674171254.290783
1523,1722,446,30,1674171254.3368247
1603,1605,776,416,1674171254.3671052
1590,1713,503,135,1674171254.3967795
1491,1612,583,276,1674171254.4298093
1597,1690,510,164,1674171254.4618382
1624,1815,577,181,1674171254.4988718
1575,1647,551,115,1674171254.5389092
1668,1808,531,403,1674171254.5709386
1708,1726,518,207,1674171254.6004782
1722,1601,727,340,1674171254.6325066
1583,1711,438,55,1674171254.661778
1573,1650,534,304,1674171254.6958086
1593,1644,528,328,1674171254.728839
1613,1653,450,207,1674171254.7628698
1617,1622,440,224,1674171254.7938976
1584,1769,620,261,1674171254.8289292
1569,1570,409,283,1674171254.8639615
1590,1744,525,321,1674171254.900995
1569,1654,422,230,1674171254.9320233
1582,1720,505,301,1674171254.9650538
1577,1706,505,274,1674171255.0140996
1547,1572,311,170,1674171255.0471277
1611,1746,353,199,1674171255.0861635
1537,1580,562,203,1674171255.122196
1526,1579,551,174,1674171255.1492207
1593,1591,467,274,1674171255.1847832
1497,1677,453,228,1674171255.2138188
1571,1578,384,24,1674171255.2483428
1584,1551,415,69,1674171255.2793713
1505,1701,505,150,1674171255.3107781
1666,1883,516,208,1674171255.34461
1537,1658,532,273,1674171255.3736367
1539,1636,513,255,1674171255.4058428
1592,1545,532,114,1674171255.437872
1578,1613,510,313,1674171255.480911
1604,1627,507,302,1674171255.5169446
1605,1607,509,305,1674171255.5587776
1579,1596,453,277,1674171255.5907788
1576,1603,446,283,1674171255.6208897
1523,1567,527,260,1674171255.6537824
1566,1560,537,234,1674171255.6854
1594,1518,587,346,1674171255.7164276
1473,1564,299,54,1674171255.7474558
1578,1698,509,204,1674171255.7784836
1613,1601,531,293,1674171255.8085115
1569,1582,476,266,1674171255.8415413
1604,1535,473,271,1674171255.8715687
1599,1632,445,242,1674171255.9027789
1613,1666,453,194,1674171255.9328063
1570,1670,517,162,1674171255.964779
1568,1735,486,88,1674171255.9948063
1582,1722,307,64,1674171256.0267806
1595,1701,338,113,1674171256.0562859
1037,765,630,186,1674171256.0987794
1057,787,646,209,1674171256.1288064
1009,417,642,289,1674171256.167438
927,416,648,320,1674171256.1967232
933,293,732,321,1674171256.2297835
942,327,694,272,1674171256.2603712
885,259,356,170,1674171256.2934017
984,409,641,51,1674171256.3234284
937,369,622,175,1674171256.353781
928,354,852,178,1674171256.383808
1034,425,490,212,1674171256.4187834
925,331,726,353,1674171256.44781
883,289,520,361,1674171256.4988563
902,285,503,380,1674171256.5408943
937,492,375,130,1674171256.5727818
887,295,557,67,1674171256.6027815
952,442,499,145,1674171256.6338103
963,441,576,172,1674171256.6653266
900,392,350,6,1674171256.6987813
876,353,554,12,1674171256.7278078
949,312,491,10,1674171256.760764
930,230,789,128,1674171256.7907915
982,271,573,70,1674171256.8228202
869,232,560,149,1674171256.8528476
853,55,501,1,1674171256.8987863
829,224,491,-4,1674171256.9278128
862,282,544,106,1674171256.964673
840,232,601,107,1674171256.9947798
974,341,541,8,1674171257.025781
1011,379,535,49,1674171257.0548072
1020,385,572,252,1674171257.0918553
857,257,617,-41,1674171257.1208808
812,299,532,96,1674171257.1537828
796,321,582,117,1674171257.1808074
870,292,332,104,1674171257.2180922
863,122,290,58,1674171257.260779
878,146,308,48,1674171257.2987866
866,145,315,1,1674171257.3408248
779,-9,412,47,1674171257.3708513
881,147,411,15,1674171257.402781
869,309,481,138,1674171257.4348094
863,459,745,232,1674171257.4658387
830,188,366,46,1674171257.4988682
948,179,401,68,1674171257.5290027
871,213,451,40,1674171257.5600505
866,261,274,103,1674171257.59108
856,280,360,65,1674171257.6231077
847,94,360,108,1674171257.655137
869,238,487,152,1674171257.6987789
816,182,354,218,1674171257.7273066
872,238,399,147,1674171257.763791
922,442,588,-37,1674171257.7947788
816,315,390,59,1674171257.8277795
843,368,455,284,1674171257.8588083
783,311,448,177,1674171257.8927817
790,264,490,202,1674171257.9228086
855,86,376,177,1674171257.954838
840,66,344,-24,1674171257.98442
768,269,237,18,1674171258.0187492
