Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
1222,1306,722,722,1674168696.7764874
1165,1180,856,828,1674168696.8074815
1311,1381,731,549,1674168696.8623729
1164,1306,821,635,1674168696.8945916
1297,1381,520,542,1674168696.9257812
1201,1220,860,829,1674168696.9554331
1163,1239,803,637,1674168696.990394
1176,1186,845,718,1674168697.0337815
1167,1268,870,653,1674168697.0654104
1175,1223,809,656,1674168697.0978043
1192,1224,779,542,1674168697.1308336
1196,1232,855,561,1674168697.1617808
1278,1243,839,658,1674168697.195784
1288,1222,882,701,1674168697.238552
1158,1159,777,625,1674168697.2695801
1157,1159,757,637,1674168697.299607
1198,1162,797,774,1674168697.3286338
1170,1205,752,561,1674168697.3587835
1210,1198,521,635,1674168697.390894
1249,1234,701,599,1674168697.4204235
1275,1171,454,566,1674168697.4517803
1235,1228,652,489,1674168697.482763
1123,1078,603,748,1674168697.5167828
1157,1246,594,526,1674168697.5601382
1156,1200,559,605,1674168697.5953407
1135,1195,814,622,1674168697.6377833
1340,1464,738,528,1674168697.6708133
1223,1221,703,756,1674168697.7028425
1159,1187,756,648,1674168697.7318697
1157,1165,728,645,1674168697.7631493
1133,1179,799,615,1674168697.7951784
1143,1146,710,629,1674168697.8257792
1251,1308,774,583,1674168697.8588097
1233,1121,673,589,1674168697.8895962
1291,1238,823,598,1674168697.9196234
1192,1181,796,730,1674168697.9509387
1183,1171,1041,646,1674168697.9978604
1232,1132,895,637,1674168698.0288918
1171,1243,673,541,1674168698.062505
1188,1268,680,691,1674168698.0929506
1181,1137,637,538,1674168698.1249795
1182,1150,699,538,1674168698.1547801
1242,1341,879,646,1674168698.1891887
1199,1308,853,653,1674168698.217216
1255,1317,830,645,1674168698.2532482
1257,1323,853,639,1674168698.2973056
1194,1274,614,466,1674168698.3283336
1213,1245,828,677,1674168698.3583608
1184,1405,687,633,1674168698.3957734
1155,1260,580,612,1674168698.434781
1148,1203,565,475,1674168698.4668107
1160,1191,513,498,1674168698.4974766
1293,1306,885,465,1674168698.530506
1146,1223,739,498,1674168698.560534
1165,1163,650,674,1674168698.593563
1146,1184,835,649,1674168698.6225903
1254,1343,899,713,1674168698.6546192
1247,1217,914,745,1674168698.6846468
1219,1189,640,504,1674168698.7176769
1254,1215,693,548,1674168698.7477038
1281,1103,821,678,1674168698.7957551
1270,1213,854,477,1674168698.8247795
1137,1164,808,614,1674168698.8608122
1248,1249,782,525,1674168698.889838
1283,1280,570,471,1674168698.9247067
1180,1267,592,660,1674168698.9687605
1292,1331,900,542,1674168699.0017912
1279,1327,943,566,1674168699.0318182
1149,1331,644,683,1674168699.0648563
1252,1340,838,648,1674168699.095894
1152,1294,875,537,1674168699.1269138
1134,1297,912,504,1674168699.157519
1213,1266,883,704,1674168699.196076
1225,1260,867,690,1674168699.2361636
1228,1243,878,489,1674168699.2681923
1227,1120,780,489,1674168699.298693
1156,1239,763,577,1674168699.3307223
1272,1316,897,509,1674168699.3607495
1115,1174,674,539,1674168699.3917778
1256,1347,614,504,1674168699.4218085
1197,1237,857,711,1674168699.4578419
1223,1291,716,666,1674168699.5006537
1127,1258,928,783,1674168699.5336833
1228,1293,871,595,1674168699.5637107
1157,1326,865,628,1674168699.591805
1141,1212,812,632,1674168699.6248355
1194,1259,804,602,1674168699.6607847
1190,1250,793,617,1674168699.702611
1249,1339,706,670,1674168699.7347817
1203,1153,615,496,1674168699.7647803
1206,1255,938,576,1674168699.7977805
1219,1289,954,565,1674168699.8268113
1244,1195,855,556,1674168699.8578393
1244,1193,837,564,1674168699.887543
1238,1196,841,508,1674168699.919572
1219,1179,856,545,1674168699.9495995
1238,1347,953,567,1674168699.997765
1235,1336,952,572,1674168700.026792
1257,1329,717,559,1674168700.0605803
1254,1314,615,541,1674168700.1035872
1254,1356,885,644,1674168700.1356165
1274,1334,649,490,1674168700.165781
1163,1148,794,715,1674168700.1977851
1136,1200,862,657,1674168700.227812
1190,1224,848,658,1674168700.2598414
1195,1227,761,656,1674168700.2892056
1201,1379,859,662,1674168700.3214962
1178,1237,841,644,1674168700.3527198
1142,1286,1039,722,1674168700.3956015
1160,1212,924,705,1674168700.4297707
1229,1320,788,655,1674168700.4617803
1211,1135,655,655,1674168700.491808
1165,1257,787,716,1674168700.5248384
1171,1293,735,676,1674168700.5548656
1153,1252,810,747,1674168700.588783
1264,1322,813,573,1674168700.6188319
1237,1134,684,689,1674168700.6527836
1247,1167,701,679,1674168700.6828108
1192,1298,880,608,1674168700.7168417
1185,1232,819,644,1674168700.7466269
1143,1201,870,617,1674168700.7955794
1251,1211,944,616,1674168700.8256068
1166,1200,877,696,1674168700.860785
1130,1177,835,498,1674168700.904781
1212,1091,739,578,1674168700.9368103
1247,1290,792,557,1674168700.966945
1248,1225,690,517,1674168700.999648
1265,1206,780,632,1674168701.0276756
1230,1157,750,578,1674168701.062782
1216,1135,713,584,1674168701.094811
1213,1260,766,517,1674168701.12684
1213,1263,779,512,1674168701.156867
1206,1235,683,562,1674168701.1967785
1229,1259,710,562,1674168701.235779
1253,1248,824,632,1674168701.2668076
