Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
650,1277,1137,1165,1663440595.1672778
450,1214,1118,1142,1663440595.2193248
532,1115,956,1088,1663440595.2613633
532,1115,956,1088,1663440595.2993977
358,1093,937,1059,1663440595.3374326
568,1279,987,1109,1663440595.375467
580,1309,1042,1239,1663440595.4125001
400,1181,1061,1194,1663440595.447532
853,1241,958,1137,1663440595.4935744
445,1016,942,1130,1663440595.529607
445,1016,942,1130,1663440595.5656397
398,1201,1032,1151,1663440595.6026728
431,1198,1016,1184,1663440595.6417098
731,1198,1018,1295,1663440595.679743
442,1198,1012,1253,1663440595.714776
442,1198,1012,1253,1663440595.7548113
-894,485,1011,1053,1663440603.3926845
-889,485,994,965,1663440603.4277165
-617,495,919,842,1663440603.462748
-745,497,1036,1012,1663440603.4967792
-879,489,1074,908,1663440603.5338128
-1058,413,996,913,1663440603.5728483
-1058,413,996,913,1663440603.6068795
-716,412,1005,867,1663440603.6419165
-1168,537,832,814,1663440603.675946
-1045,520,1027,922,1663440603.7109778
-1045,520,1027,922,1663440603.745009
-813,516,971,863,1663440603.7800407
-1017,436,792,695,1663440603.8230796
-962,474,692,694,1663440603.8641193
-873,497,786,896,1663440603.8981502
-660,575,811,889,1663440603.9311795
-660,575,811,889,1663440603.966212
-1274,447,756,899,1663440604.0002444
-1230,222,637,774,1663440604.0352767
-1088,187,368,492,1663440604.0703084
-1088,187,368,492,1663440604.1073444
-715,297,386,454,1663440604.1433766
-1202,310,649,694,1663440604.1774075
-984,245,557,507,1663440604.213442
-1631,57,660,262,1663440604.2474725
-2126,21,661,250,1663440604.282505
-2126,21,661,250,1663440604.3165364
-1699,204,569,251,1663440604.3515675
-1832,24,714,273,1663440604.3865995
-1763,181,669,292,1663440604.4216313
-1931,179,689,228,1663440604.4566634
-1931,179,689,228,1663440604.4987013
-1695,197,563,234,1663440604.534734
-1782,183,612,211,1663440604.612671
-1782,183,612,211,1663440604.6467009
-1726,45,597,322,1663440604.6807315
-2320,-207,558,174,1663440604.7147648
-1488,236,543,276,1663440604.7487948
-1488,236,543,276,1663440604.784828
-1931,140,447,87,1663440604.8208604
-1877,154,488,105,1663440604.8548915
-2202,87,500,122,1663440604.8889236
-2202,87,500,122,1663440604.9227982
-1683,125,555,193,1663440604.95783
-2180,102,566,157,1663440604.9918606
-1591,178,587,151,1663440605.028896
-1770,277,677,278,1663440605.0619268
-1910,200,805,244,1663440605.0959566
-1910,200,805,244,1663440605.130989
-1752,285,717,345,1663440605.16502
-1542,252,567,89,1663440605.199051
-1925,269,600,249,1663440605.232081
-1925,269,600,249,1663440605.2671127
-1700,236,565,175,1663440605.3021457
-1771,147,571,291,1663440605.3361766
-903,585,812,695,1663440605.3702083
-140,928,935,831,1663440605.4052396
175,825,909,830,1663440605.439271
175,825,909,830,1663440605.474303
-209,818,880,790,1663440605.508334
-161,829,986,824,1663440605.544367
219,1008,932,866,1663440605.5783975
1028,1243,981,989,1663440605.6174328
1028,1243,981,989,1663440605.6524646
1167,1345,964,1081,1663440605.6864958
800,1329,998,1065,1663440605.7215276
891,1216,984,1048,1663440605.7565598
891,1216,984,1048,1663440605.7915912
788,1223,904,1019,1663440605.8266225
901,1281,955,1056,1663440605.860654
913,1306,1004,1144,1663440605.895686
923,1402,1172,1171,1663440605.9287157
1016,1469,987,1108,1663440605.963748
1016,1469,987,1108,1663440605.9997804
885,1398,982,1116,1663440606.0348125
1098,1343,895,1029,1663440606.070845
805,1330,961,1029,1663440606.1168845
921,1287,907,1054,1663440606.1509156
534,938,793,887,1663440606.196667
265,1065,857,943,1663440606.2306974
265,1065,857,943,1663440606.26573
513,1051,945,983,1663440606.300761
817,1128,834,914,1663440606.3357968
518,1118,907,950,1663440606.3708303
326,915,951,982,1663440606.4058614
326,915,951,982,1663440606.4418929
451,948,897,979,1663440606.4769247
532,1122,817,908,1663440606.5109558
713,975,856,910,1663440606.5459871
713,975,856,910,1663440606.5810194
174,1094,912,1006,1663440606.615051
174,1094,912,1006,1663440606.6500823
507,1113,955,1065,1663440606.6861148
885,1175,929,981,1663440606.7211466
261,928,896,1063,1663440606.7551777
261,928,896,1063,1663440606.7912104
565,1179,938,1046,1663440606.825241
1545,1754,968,1091,1663440606.8602734
1878,1974,1000,1053,1663440606.8953052
1878,1974,1000,1053,1663440606.9303367
2061,2168,918,1032,1663440606.9643679
2023,2044,975,991,1663440607.0004022
1728,2033,1069,1102,1663440607.040437
1678,1984,1060,1059,1663440607.074468
1691,2032,990,1043,1663440607.1115015
1691,2032,990,1043,1663440607.1455328
1930,2013,993,1021,1663440607.1795635
1685,2122,1044,1079,1663440607.2135963
2141,2233,1037,1042,1663440607.247625
2141,2233,1037,1042,1663440607.284659
1740,2097,1098,1141,1663440607.3196907
1884,2163,1108,1266,1663440607.3547227
1573,1988,870,998,1663440607.3887537
1822,2146,1077,1095,1663440607.4237857
1783,2099,1075,1237,1663440607.4588172
1783,2099,1075,1237,1663440607.4928484
1634,2008,1005,1044,1663440607.5268788
1642,1987,952,1036,1663440607.561911
1754,2002,1054,1217,1663440607.596943
1712,2034,1044,1169,1663440607.6319747
1712,2034,1044,1170,1663440607.6660056
1832,2040,1062,1201,1663440607.7050412
1685,2080,1036,1115,1663440607.740073
1539,1769,904,1139,1663440607.7801094
670,1199,751,840,1663440607.8151412
361,966,902,976,1663440607.860664
516,1141,925,1103,1663440607.9077067
516,1141,925,1103,1663440607.9427385
533,1200,916,1051,1663440607.975768
667,1178,861,908,1663440608.0108004
507,1051,863,958,1663440608.0458322
507,1051,863,958,1663440608.079863
518,1031,835,1029,1663440608.1168969
404,979,785,994,1663440608.1509275
446,1138,931,1077,1663440608.1849587
465,999,849,974,1663440608.21999
153,1073,835,1075,1663440608.254021
153,1073,835,1075,1663440608.2890532
547,1109,777,1002,1663440608.3250859
815,1166,870,944,1663440608.3591163
91,1066,829,1041,1663440608.393148
875,1310,940,1046,1663440608.4281797
875,1310,940,1046,1663440608.4612098
798,1144,907,1020,1663440608.4962413
774,1246,895,943,1663440608.5322742
334,1062,723,959,1663440608.566305
334,1062,723,959,1663440608.6033387
1497,1885,834,1017,1663440608.6393716
1497,1885,834,1017,1663440608.6744037
2694,2460,938,1140,1663440608.7094355
2849,2475,835,998,1663440608.7494714
2711,2363,827,1009,1663440608.7835026
2711,2363,827,1009,1663440608.8205366
2530,2402,775,999,1663440608.8555682
2479,2503,747,984,1663440608.9006088
2915,2575,972,1074,1663440608.9486527
2830,2345,705,892,1663440608.9816828
2486,2416,785,972,1663440609.0286667
2866,2492,799,1039,1663440609.0756629
2866,2492,799,1039,1663440609.1116962
2779,2480,922,1030,1663440609.1457264
2860,2523,837,981,1663440609.180758
2466,2428,706,928,1663440609.21579
2466,2428,706,928,1663440609.2498205
2892,2598,710,949,1663440609.2848525
3173,2637,732,986,1663440609.3188832
2873,2591,738,1059,1663440609.3529143
2927,2615,740,1024,1663440609.387947
2664,2358,800,964,1663440609.4219773
2664,2358,800,964,1663440609.4560084
1727,1984,905,1019,1663440609.4920409
422,1174,698,944,1663440609.527074
-1311,477,820,840,1663440609.562105
-1816,103,858,647,1663440609.5961356
-1816,103,858,647,1663440609.630166
-1711,188,793,734,1663440609.664198
-1302,245,677,718,1663440609.7002301
-1480,382,875,755,1663440609.7332604
-1480,382,875,755,1663440609.767291
-1552,361,835,624,1663440609.8023229
-1680,183,842,638,1663440609.838356
-1914,291,951,702,1663440609.8743892
-1702,352,886,897,1663440609.90842
-1590,362,739,635,1663440609.9424503
-1590,362,739,635,1663440609.9764812
-1566,188,844,761,1663440610.011513
-1217,347,803,793,1663440610.0455441
-1920,175,811,634,1663440610.0795748
-1920,175,811,634,1663440610.1166089
-1526,240,825,772,1663440610.1526413
-1820,208,901,828,1663440610.1866724
-1282,306,683,728,1663440610.2217042
-1866,236,900,810,1663440610.2557344
-1429,417,829,677,1663440610.2907672
-1429,417,829,677,1663440610.3247976
2,924,961,1117,1663440610.3588288
735,1188,1132,1239,1663440610.3928592
658,1105,1156,1223,1663440610.4268909
665,1357,1128,1251,1663440610.4619226
665,1357,1128,1251,1663440610.4959528
1183,1389,1169,1254,1663440610.5329878
629,1299,1079,1282,1663440610.567018
1006,1499,1053,1268,1663440610.6020498
1006,1499,1053,1268,1663440610.6360803
841,1428,1120,1326,1663440610.669111
841,1428,1120,1326,1663440610.703142
692,1292,1108,1301,1663440610.7381737
727,1275,1096,1318,1663440610.7722046
1001,1487,1115,1303,1663440610.8062356
1001,1487,1115,1303,1663440610.8402658
910,1371,1206,1321,1663440610.8742979
718,1376,1094,1288,1663440610.9083283
943,1399,1044,1279,1663440610.9493601
1024,1410,1076,1283,1663440610.9843922
948,1374,1062,1251,1663440611.027431
505,1286,1100,1321,1663440611.076422
505,1286,1100,1321,1663440611.1124537
863,1488,1036,1304,1663440611.1474857
805,1437,1012,1267,1663440611.182518
712,1420,1084,1290,1663440611.2165492
712,1420,1084,1290,1663440611.2525816
736,1415,1071,1302,1663440611.2866156
791,1463,1100,1308,1663440611.3216476
852,1477,1056,1295,1663440611.3566792
951,1479,1107,1303,1663440611.3907104
764,1434,1103,1307,1663440611.4247408
764,1434,1103,1307,1663440611.462776
761,1455,1057,1305,1663440611.4968069
795,1465,988,1218,1663440611.5308375
613,1249,1068,1241,1663440611.5648687
671,1406,1050,1262,1663440611.6039038
671,1406,1050,1262,1663440611.637935
730,1405,1219,1325,1663440611.6739676
615,1412,1027,1197,1663440611.7069972
675,1288,886,1073,1663440611.7420294
675,1288,886,1073,1663440611.7760606
664,1299,939,1019,1663440611.8110921
583,1139,795,996,1663440611.8461242
647,1267,816,998,1663440611.8801548
556,1245,922,1036,1663440611.914691
634,1302,855,1053,1663440611.9487221
634,1302,855,1053,1663440611.9817522
565,1294,849,1030,1663440612.016786
498,1287,911,1105,1663440612.0508173
867,1292,884,1054,1663440612.0848484
867,1292,884,1054,1663440612.1198816
505,1102,831,1017,1663440612.1559148
546,1247,818,1074,1663440612.189946
814,1167,901,1006,1663440612.2239769
546,1273,878,1065,1663440612.2580078
552,1142,779,1010,1663440612.2940407
552,1142,779,1010,1663440612.3290722
213,1127,864,1042,1663440612.3641043
620,1197,971,1104,1663440612.398136
628,1197,863,1113,1663440612.432418
669,1183,872,1073,1663440612.4664488
669,1183,872,1073,1663440612.5034823
378,1152,903,1137,1663440612.5375135
676,1111,868,1095,1663440612.6136703
676,1111,868,1095,1663440612.652706
787,1255,843,1077,1663440612.6867366
413,1174,914,1154,1663440612.7227695
564,1258,890,972,1663440612.7568004
564,1258,890,972,1663440612.790831
504,1223,875,1021,1663440612.825863
337,1114,809,898,1663440612.8598938
