Smoothed_Point_X,Smoothed_Point_Y,Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
1165,759,906,931,632,917,1670281744.0109286
1043,815,438,387,1480,1342,1670281744.8467374
921,871,438,387,1480,1342,1670281744.8757632
834,940,413,304,1562,1441,1670281744.916801
747,1010,413,304,1562,1441,1670281744.9478288
677,1091,395,252,1414,1421,1670281744.979858
607,1173,395,252,1414,1421,1670281745.017893
543,1225,305,458,1387,1180,1670281745.044918
479,1277,305,458,1387,1180,1670281745.076948
428,1322,421,394,1302,1138,1670281745.109976
377,1366,421,394,1302,1138,1670281745.1400037
372,1353,310,420,1364,1196,1670281745.1750352
367,1340,310,420,1364,1196,1670281745.210492
373,1316,368,473,1317,1203,1670281745.241525
379,1292,368,473,1317,1203,1670281745.2755513
385,1270,313,443,1287,1122,1670281745.3045812
390,1249,313,443,1287,1122,1670281745.3396132
412,1194,584,618,879,583,1670281745.3736448
434,1139,584,618,879,583,1670281745.4026706
466,1081,689,766,624,671,1670281745.4507208
498,1024,689,766,624,671,1670281745.4767377
535,955,675,789,587,595,1670281745.5107687
571,886,675,789,587,595,1670281745.5367923
605,815,746,766,605,483,1670281745.5708227
639,743,746,766,605,483,1670281745.6036487
672,690,700,725,653,689,1670281745.6356778
705,636,700,725,653,689,1670281745.669714
715,619,646,748,576,541,1670281745.7017403
725,602,646,748,576,541,1670281745.751785
734,581,814,832,542,332,1670281745.7688
744,560,814,832,542,332,1670281745.806488
753,537,855,802,456,275,1670281745.8365164
763,515,855,802,456,275,1670281745.8665426
764,497,718,810,417,316,1670281745.8995724
764,479,718,810,417,316,1670281745.9326057
774,447,775,845,420,283,1670281745.9686358
784,415,775,845,420,283,1670281746.0069427
793,404,730,844,482,419,1670281746.0499737
802,394,730,844,482,419,1670281746.0659883
803,384,765,905,429,247,1670281746.1000192
804,374,765,905,429,247,1670281746.1320484
813,374,841,981,422,311,1670281746.1650782
821,374,841,981,422,311,1670281746.198123
822,397,736,823,651,543,1670281746.2391489
824,420,736,823,651,543,1670281746.2701766
833,435,873,934,527,469,1670281746.295199
843,450,873,934,527,469,1670281746.3422418
850,460,901,823,498,614,1670281746.4022965
858,471,901,823,498,614,1670281746.4213133
858,477,785,897,449,357,1670281746.4473376
859,484,785,897,449,357,1670281746.4643526
865,485,960,976,430,326,1670281746.5073917
870,486,960,976,430,326,1670281746.5334158
889,464,960,976,430,326,1670281746.567446
901,463,813,971,561,603,1670281746.591468
899,471,813,971,561,603,1670281746.6254992
893,494,772,899,756,709,1670281746.6745486
890,512,772,899,756,709,1670281746.6895673
878,526,729,751,721,669,1670281746.722587
880,550,786,937,680,607,1670281746.7676296
882,574,786,937,680,607,1670281746.794978
874,587,923,847,399,612,1670281746.8269985
865,600,923,847,399,612,1670281746.8590271
857,612,923,847,399,612,1670281746.8950608
848,608,732,877,456,625,1670281746.9240866
840,604,732,877,456,625,1670281746.9551146
834,589,769,781,538,624,1670281747.002953
829,583,743,844,653,700,1670281747.0269754
835,582,743,844,653,700,1670281747.063008
828,585,743,844,653,700,1670281747.08803
823,587,748,876,635,683,1670281747.1391072
815,602,748,876,635,683,1670281747.1581242
808,623,793,825,725,709,1670281747.1927
799,634,778,824,584,652,1670281747.2197242
799,642,778,824,584,652,1670281747.2547567
799,650,778,824,584,652,1670281747.2927911
803,662,791,840,710,692,1670281747.3288238
805,664,791,840,710,692,1670281747.3548474
814,661,817,942,652,640,1670281747.3913925
822,658,817,942,652,640,1670281747.419418
819,660,745,806,662,700,1670281747.4524484
815,662,745,806,662,700,1670281747.482476
816,658,794,843,660,689,1670281747.5165067
818,664,794,843,660,689,1670281747.5485353
822,667,819,875,674,633,1670281747.5990858
827,671,819,875,674,633,1670281747.6141
833,663,851,899,640,616,1670281747.6591413
839,656,851,899,640,616,1670281747.6831627
831,654,725,889,648,610,1670281747.7181945
824,653,725,889,648,610,1670281747.747221
834,650,755,1001,690,629,1670281747.7832537
845,648,755,1001,690,629,1670281747.8147948
852,644,770,1008,637,629,1670281747.8488247
859,640,770,1008,637,629,1670281747.8828554
865,636,779,1039,609,613,1670281747.9118822
873,635,801,1048,633,648,1670281747.9649293
878,636,801,1048,633,648,1670281747.9789429
882,637,801,1048,633,648,1670281748.0108597
895,645,802,1055,660,754,1670281748.046892
907,653,802,1055,660,754,1670281748.0867643
910,639,793,1026,626,427,1670281748.1197941
913,626,793,1026,626,427,1670281748.1438158
890,657,545,762,996,890,1670281748.1798487
866,688,545,762,996,890,1670281748.2138796
813,742,472,291,1151,1144,1670281748.2459137
759,793,472,291,1151,1144,1670281748.2769368
709,843,481,365,1133,1152,1670281748.3149712
659,893,481,365,1133,1152,1670281748.3500032
609,934,493,359,1096,1142,1670281748.3770287
558,975,493,359,1096,1142,1670281748.411059
513,1040,457,448,1281,1073,1670281748.4440892
467,1105,457,448,1281,1073,1670281748.4741166
441,1130,468,310,1232,1147,1670281748.507146
414,1155,468,310,1232,1147,1670281748.557191
425,1147,507,467,1030,1105,1670281748.572206
435,1139,507,467,1030,1105,1670281748.6109002
440,1150,533,416,1117,1392,1670281748.6459436
445,1161,533,416,1117,1392,1670281748.6799638
490,1111,796,943,636,609,1670281748.705987
534,1062,796,943,636,609,1670281748.7390172
572,1016,789,869,840,598,1670281748.7740495
609,970,789,869,840,598,1670281748.80312
657,906,801,941,663,448,1670281748.8391533
706,843,801,941,663,448,1670281748.8691127
742,779,806,899,526,327,1670281748.9401774
779,715,806,899,526,327,1670281748.957195
820,656,813,950,685,645,1670281748.972206
860,597,813,950,685,645,1670281749.0007443
860,583,755,967,613,357,1670281749.0347753
859,570,755,967,613,357,1670281749.0708077
857,544,748,872,548,370,1670281749.1018376
855,518,748,872,548,370,1670281749.141873
853,502,796,898,485,319,1670281749.168897
850,487,796,898,485,319,1670281749.2019265
850,488,797,909,510,366,1670281749.2349572
850,489,797,909,510,366,1670281749.2699912
847,467,797,909,510,366,1670281749.3030214
847,454,817,948,573,495,1670281749.332048
846,453,767,929,544,417,1670281749.3650773
845,453,767,929,544,417,1670281749.4101186
858,460,823,1059,577,485,1670281749.4351447
871,467,823,1059,577,485,1670281749.4761872
874,481,756,1003,648,439,1670281749.5012054
878,495,756,1003,648,439,1670281749.534232
880,504,754,1005,633,425,1670281749.5662603
883,514,754,1005,633,425,1670281749.5971682
882,527,729,967,664,474,1670281749.6282024
879,530,729,967,664,474,1670281749.6616402
888,530,848,1022,571,382,1670281749.69867
896,530,848,1022,571,382,1670281749.7306979
896,524,848,1022,571,382,1670281749.7597249
888,525,730,991,622,462,1670281749.7977598
917,508,1116,1222,512,224,1670281749.8317912
945,490,1116,1222,512,224,1670281749.8638196
985,489,1201,1359,481,554,1670281749.8938465
1025,488,1201,1359,481,554,1670281749.9268773
1061,449,1244,1163,270,98,1670281749.9619086
1096,411,1244,1163,270,98,1670281749.9957817
1135,387,1343,1294,335,147,1670281750.0258083
1173,364,1343,1294,335,147,1670281750.057843
1211,340,1343,1294,335,147,1670281750.0938745
1271,312,1494,1416,352,173,1670281750.1259027
1299,302,1494,1416,352,173,1670281750.1579318
1326,302,1443,1417,373,366,1670281750.1925445
1331,275,1316,1352,507,-14,1670281750.241576
1336,247,1316,1352,507,-14,1670281750.2575912
1349,254,1316,1352,507,-14,1670281750.2986279
1365,255,1415,1309,373,30,1670281750.3226585
1376,259,1427,1430,455,106,1670281750.356681
1387,263,1427,1430,455,106,1670281750.3887143
1396,269,1380,1426,421,183,1670281750.4207435
1391,273,1380,1426,421,183,1670281750.4577775
1385,277,1380,1426,421,183,1670281750.487616
1381,288,1339,1434,482,478,1670281750.5236485
1386,312,1339,1434,482,478,1670281750.5526855
1389,317,1298,1421,432,175,1670281750.5867057
1392,323,1298,1421,432,175,1670281750.6207407
1399,345,1427,1449,511,339,1670281750.658771
1400,360,1427,1449,511,339,1670281750.6827931
1329,350,679,748,220,138,1670281750.718826
1216,325,209,342,273,-161,1670281750.7688718
1103,300,209,342,273,-161,1670281750.7838893
983,279,116,292,198,-21,1670281750.8199196
865,240,116,292,198,-21,1670281750.852948
747,200,116,292,198,-21,1670281750.8829749
626,191,52,247,247,178,1670281750.9180062
505,182,52,247,247,178,1670281750.9550407
377,155,79,253,213,90,1670281750.9880705
250,128,79,253,213,90,1670281751.0138655
202,134,192,269,300,188,1670281751.0559037
197,153,192,269,300,188,1670281751.0869317
198,175,245,313,346,199,1670281751.130219
205,193,245,313,346,199,1670281751.147235
198,215,28,232,366,251,1670281751.1832633
190,237,28,232,366,251,1670281751.2112892
197,252,131,300,420,294,1670281751.2463207
204,266,131,300,420,294,1670281751.283154
196,263,59,126,267,-21,1670281751.317804
189,261,59,126,267,-21,1670281751.3448284
193,252,192,342,317,-3,1670281751.3798604
197,243,192,342,317,-3,1670281751.4128907
191,231,178,279,326,-20,1670281751.4439187
186,219,178,279,326,-20,1670281751.4769485
191,201,124,236,269,-19,1670281751.5119798
196,182,124,236,269,-19,1670281751.5490139
193,168,121,241,344,86,1670281751.5800421
189,154,121,241,344,86,1670281751.6073165
202,159,168,279,344,6,1670281751.640342
216,164,168,279,344,6,1670281751.6722698
206,172,88,245,412,57,1670281751.709304
196,180,88,245,412,57,1670281751.7853663
189,193,99,216,430,141,1670281751.7972891
182,206,99,216,430,141,1670281751.8123024
196,260,380,265,586,738,1670281751.8483355
210,314,380,265,586,738,1670281751.8723571
244,354,532,507,626,609,1670281751.907389
278,395,532,507,626,609,1670281751.939418
294,427,447,334,543,456,1670281751.9714472
311,459,447,334,543,456,1670281752.0054784
331,495,409,331,639,534,1670281752.0385077
351,530,409,331,639,534,1670281752.0751095
373,550,347,402,539,442,1670281752.1101415
395,571,347,402,539,442,1670281752.1421704
408,564,439,476,652,539,1670281752.1741998
422,557,439,476,652,539,1670281752.2033334
415,551,439,467,610,492,1670281752.2363632
409,544,439,467,610,492,1670281752.2703936
413,550,423,437,564,564,1670281752.3053544
417,557,423,437,564,564,1670281752.3423886
417,558,355,382,650,543,1670281752.3704143
417,559,355,382,650,543,1670281752.404447
407,574,317,251,689,580,1670281752.434474
398,588,317,251,689,580,1670281752.4685047
381,592,317,251,689,580,1670281752.4985318
364,590,332,249,638,511,1670281752.5365667
354,583,330,365,544,424,1670281752.5715988
343,576,330,365,544,424,1670281752.6061344
328,571,259,308,538,481,1670281752.6301558
314,566,259,308,538,481,1670281752.6641865
305,577,266,287,844,570,1670281752.6982176
295,588,266,287,844,570,1670281752.7492635
297,579,287,317,564,538,1670281752.7642777
299,571,287,317,564,538,1670281752.800866
311,564,443,359,577,552,1670281752.8368979
322,563,443,359,577,552,1670281752.861436
327,571,443,359,577,552,1670281752.897469
323,573,302,308,538,474,1670281752.9294977
325,573,302,308,538,474,1670281752.96453
329,578,343,310,578,546,1670281752.9975624
334,564,343,310,578,546,1670281753.0295908
335,549,358,215,584,535,1670281753.0606184
336,546,282,341,540,503,1670281753.0966518
337,543,282,341,540,503,1670281753.1316838
328,550,315,310,663,598,1670281753.1667151
320,556,315,310,663,598,1670281753.2412214
313,558,333,345,623,536,1670281753.2572355
317,565,333,345,623,536,1670281753.2968462
320,573,333,345,623,536,1670281753.3128605
325,581,389,368,704,596,1670281753.356901
324,591,373,257,664,651,1670281753.4059455
327,601,373,257,664,651,1670281753.4149535
327,614,373,257,664,651,1670281753.4379747
332,628,340,380,651,670,1670281753.4659998
335,630,299,375,666,642,1670281753.494026
337,632,299,375,666,642,1670281753.5270555
329,641,296,214,665,657,1670281753.5650897
320,649,296,214,665,657,1670281753.5941162
319,651,376,268,626,581,1670281753.6331515
313,646,376,268,626,581,1670281753.6561723
314,641,376,268,626,581,1670281753.7074842
325,643,467,400,674,675,1670281753.7335079
337,644,467,400,674,675,1670281753.7961829
343,641,453,387,637,622,1670281753.8152003
352,639,453,387,637,622,1670281753.8292124
349,633,338,274,596,598,1670281753.8542356
354,627,338,274,596,598,1670281753.8902683
367,637,371,398,740,781,1670281753.9253006
373,652,371,398,740,781,1670281753.9513237
374,665,390,272,739,729,1670281753.9883578
386,675,436,445,582,815,1670281754.0293946
386,677,436,445,582,815,1670281754.0544178
387,680,436,445,582,815,1670281754.0854464
384,693,363,417,720,803,1670281754.1174743
381,706,363,417,720,803,1670281754.152506
383,714,360,290,663,686,1670281754.1805322
385,722,360,290,663,686,1670281754.2205687
